SEVERITY CODE,MINE/PROJECT & LOCATION,ORE TYPE,DAM TYPE,DAM FILL MATERIAL,DAM HEIGHT (meters),"STORAGE VOLUME
(cu. meters)",Type Number,Type Key,Type Cause,INCIDENT YEAR,INCIDENT DATE,"RELEASE
(cu. meters)",RUNOUT (km),DEATHS,SOURCES,NOTES,DEPOSIT TYPE,ORE TYPE,Est. Size (resource)  Mtonnes,"Cu, %","Au, ppm","CuEq, %",1st Prod,"Est. Mill through-put to event, Mtonnes",Adverse Minerals,,Release,Runout,Deaths,Overall,,vser,ser,minor
1,"Williamson Mine, Mwadui Lohumbo, Kishapu District, Shinyanga Province, Tanzania (Petra Diamonds-75% and the Government of Tanzania-25%)",Diamonds,Modified CL,Sand,26,25760000,1,A,SI,2022,7/Nov/22,12800000,7.5,,"AGU Blog, WISE, Sharecast News, CoE-Tailings-Safety-Disclosure-Response-Petra-Diamonds-All-Mines-June-2020","The failure mechanism was subsidence of a portion of the east wall of the tailings storage facility by around 1.5 metres, that enabled the water to crest the wall, initiating the breach. The plume is over 8 km long and has a width of about 1.2 km. A small community was heavily affected by the waste. A total area of 3.57 square kilometres was covered with the material on Williamson’s mine lease area, with 1.52 square kilometres outside the mine lease area. A total of 13 dwellings and farmland.were affected. Three injuries have been reported. About 115 citizens of Ngw'wanholo village have been severely affected.",,,,,,,,,,,,,,,,,,
1,"Jagersfontein, South Africa (De Beers, a unit of Anglo American)",Diamonds,,,,22000000,1,A,ST,2022,11/Sep/22,5040000,63,3,"WISE, Preliminary Survey Report for Jagersfontein, Sam Rivet, PhotoSat Information Ltd, 20Jan23","De Beers sold the Jagersfontein mine and tailings in 2010 to a consortium, which was reprocessing the tailings waste in the hopes of finding diamonds that were missed during initial mining. Jagersfontein had produced some of the world’s largest gems when operating between 1870 and 1971. Homes and vehicles were swept away when the dam collapsed. (also see https://www.miningweekly.com/article/new-study-shows-jagersfontein-dam-deviated-from-best-practice-2023-04-12)",,,,,,,,,,,,,,,,,,
3,"Agua Dulce, Potosí, Bolivia (Federación Departamental de Cooperativas Mineras de Potosí (Fedecomín))","Ag, Zn",,,,,1,A,,2022,23/Jul/22,,,,WISE,"A mud wave with unrecovered minerals and chemical elements reached the river of la Rivera, as well as the Quebrada de Tarapaya, which connects with the Pilcomayo River. Argentina's Salta province has issued an order forbidding the use of the Pilcomayo River water. ",,,,,,,,,,,,,,,,,,
3,"Shanxi Daoer Aluminum Co, Wenquan Township Jiaokou County, Shanxi Province, China ",Al,,,,,1,A,ST,2022,27/Mar/22,,,,https://blogs.agu.org/landslideblog/2022/04/06/wenquan-township-tailings-1/,"Tailings pond was put into use around 2018.  7.5 mu of arbor forest land to be buried, more than 200 meters of seasonal ditches and rural roads were blocked, and part of the surrounding walls of adjacent enterprises were washed away. No casualties",,,,,,,,,,,,,,,,,,
3,QMM Mandena Mine (QIT Madagascar Minerals / Rio Tinto),Ti,,,,,1,A,OT,2022,17/Feb/22,,,,https://theecologist.org/2022/mar/25/dead-fish-found-mine-dumps-water,"The basin has overflowed because there is no protective wall to retain the water. The incident lasted an hour. The spill potentially affected drinking water for Fort-Dauphin.  Subsequent to this incident, QMM released an additional one million cubic meters of wastewater, which led to a significant fish kill.",,,,,,,,,,,,,,,,,,
3,"Thelkoloi, in Odisha, India (JSW Bhushan Power and Steel Limited)",Fe,,,,,1,A,,2022,20/Jan/22,,,,"AGU Blog, WISE","Breach of tailings pond wall holding iron slurry generated from beneficiation plant.   20-30 acres of farmland submerged under the iron ore slurry at Banjhiberana village. (https://www.hindustantimes.com/india-news/farmland-in-odisha-s-sambalpur-contaminated-by-breach-in-slurry-pond-101642794038816.html)  Two ponds were contaminated, causing a fish kill; a security guard is reported missing. (WISE)",,,,,,,,,,,,,,,,,,
3,"MMK Chrome smetler, (MMK - Metallurgy Industry Trade and Port Management Inc), Toroslar district of Mersin, Turkey",Cr,,,,,1,A,,2022,12/Jan/22,,,,https://gazetesokak.com/toroslarda-cevre-felaketi-yasandi-video/,A leak in the impoundment had been noted for 20 days.  The spill into the Deliçay Stream sent toxic wastes through the Taurus Mountains into the Meditterrean Sea. The smelter was opened in 2013.,,,,,,,,,,,,,,,,,,
2,"Pau Branco mine, Quadrilátero Ferrífero region, Brazll (Vallourec)",Fe,,,,,1,A,OT,2022,8/Jan/22,,,,"https://blogs.agu.org/landslideblog/2022/01/11/pau-branco-1/, https://www.earthisland.org/journal/index.php/articles/entry/an-unfolding-disaster-in-brazil/","The waste pile was a co-disposal stack of waste rock and tailings, and was registered as a tailings dam with the ANM. The overflow flooded a major highway, sweeping away cars and leading to a two-day road closure. It also forced the evacuation of a staff member and 400 animals that the Wild Animal Rehabilitation Center located below the mine. Brazilian regulators fined the company $51.6M USD for the spill and suspended operations at the mine.",,,,,,,,,,,,,,,,,,
3,"Zululand Anthracite Colliery (ZAC) coal mine, KwaZulu-Natal, South Africa",Coal,,,,,1,A,ST,2021,24/Dec/21,1500,,,"https://www.dailymaverick.co.za/article/2022-01-11-river-turns-black-after-coal-mine-dam-collapse-next-to-rural-communities-and-hluhluwe-imfolozi-game-reserve/, WISE","Caol slurry dam collapsed during heavy rains.  The incident happened on 24 December 2021, at around 2pm,  The slurry pond end wall was newly installed, following the loading out of the dry slurry during November 2021. Heavy rain fall four days prior to the failure – 66mm. Extensive pollution of the Black Umfolozi River inside the wilderness zone of the 96,000ha Hluhluwe-iMfolozi Park. ",,,,,,,,,,,,,,,,,,
2,"San Antonio de María mine, Ananea Puno Mineria, La Rinconada, Ananea district, Peru",Au,,,,,1,A,OT,2021,26/Nov/21,,,,"WISE, AGU Blog, and https://larepublica.pe/sociedad/2021/11/27/puno-relaves-mineros-inunden-calles-de-ananea-tras-falla-en-infraestructura-vial-lrsd/","In the foothills of the Andes, the overflow of mining tailings ponds due to the constant rains in the jurisdiction of the Ananea district, caused vehicles to be swept away, flooded streets and destroyed roads.  The tailings wave destroyed approx. 400 meters of the national road that goes to the La Rinconada town center and spilled into three residential areas (Progreso, Central and Santiago).  The overflow occurred at 8:30 in the morning, apparently from one of the sedimentation ponds of the San Antonio mining cooperative, located on the Q’oñiunu hill.",,,,,,,,,,,,,,,,,,
3,"Nesko Madencilik AŞ (Yıldızlar Holdings) Şebinkarahisar district, Giresun Province, Turkey","Cu, Pb, Zn",,,,,1,A,SI,2021,18/Nov/21,"> 4,500",5,,https://www.duvarenglish.com/tailings-pond-breach-in-turkeys-north-creates-environmental-disaster-news-59786,"The ponds in the flotation facility belonging to Yıldızlar Holding's Nesko Mining collapsed on Nov.19 and the waste poured into the rivers nearby in the Şebinkarahisar district. The cyanide waste has also reached the Kılıçkaya Dam in the region. The accident occurred during the rehabilitation of the old tailings dam (#2). Old dam's body collapsed and the tailings spilled to the new dam (#3) causing this dam to overspill. Thousands of tons of heavy chemicals poured into the Darabul river reaching to Kılıçkaya dam,  It was at a closed mine that was hit by Hurricane Pamela and owned by Rio Panusco SA de CV.",,,,,,,,,,,,,,,,,,
3,"Rio Panusco SA de CV, municipality of Concordia, Sinaloa State, Mexico","Ag, Cu, Pb, Zn",,,,,1,B,OT,2021,13/Oct/21,,,,https://sonplayas.com/comunidad/denuncian-derrame-de-jales-mineros-en-afluente-del-rio-panuco-concordia/,"Highly toxic mining tailings were spilled into the Florido stream, a tributary of the Pánuco river, in the municipality of Concordia, Sinaloa.  The overflow of mining waste could have originated from the effect of the rains generated by Hurricane Pamela that touched Sinaloa territory on October 13. The compnay responsible for the spill has not been identified.",,,,,,,,,,,,,,,,,,
1,"Catoca Mine, Angola (Angolan state diamond company Endiama-41% and Russia’s Alrosa-41%)",Diamonds,,,,,1,A,OT?,2021,15/Jul/21,,100,12,"WISE, https://theafricanmirror.africa/news/drc-wants-angola-to-pay-for-deaths/","After a ""breach in a spillway for the mine waste dam"", the Tshikapa river across the border in DR Congo turned red killing hippos, fish, and other animals. The leak killed at least 12 people and left 4,500 sick, a minister in neighbouring Democratic Republic of Congo says.  ",,,,,,,,,,,,,,,,,,
4,"Aurizona mine, Maranhão, Brazil (Equinox Gold)",Au,,,,,1,A,OT,2021,25/Mar/21,,,,"https://yubanet.com/world/no-relief-for-4000-people-affected-by-brazil-mine-spill/, https://vision6.excelplas.com/ch/38100/6w3zs/2962306/Bt4wuxrf1AvFKR3xHAPrmRnz7Bf0u4GWgdGNndo6.pdf","The failure of the Lagoa do Pirocáua dam at the Equinox Gold Aurizona mine on the Atlantic coast of Maranhão State, northeast Brazil, on March 25, 2021, at 4:00 am local time, contaminated the water supply of the village of Aurizona. The purpose of the 7-meter high earthen dam was to capture sediments from the open pits and to store water for use in the mining operation. The failure was caused by overtopping of the dam, which resulted from 426 mm of rain over March 23-24, corresponding to a 10,000-year precipitation event.  The dam did not hold tailings.",,,,,,,,,,,,,,,,,,
3,"Sasa Tailings Storage Facility 4, central Macedonia (Central Asia Metals)","Pb, Zn, Ag",,,,,1,A,,2020,14/Sep/20,,,,"https://polaris.brighterir.com/public/central_asia_metals_plc/news/rns/story/x5og98r, https://polaris.brighterir.com/public/central_asia_metals_plc/news/rns/story/w68zpkr","Central Asia Metals reported "".. short-term leakage of tailings from Sasa's TSF4 into the local river.""  (14Sep20)  And,  ""… structural dam repairs that are underway, the causes of the incident must be fully understood in order to implement any necessary engineering solutions for the future ahead of the facility reopening."" (17Sep20)",,,,,,,,,,,,,,,,,,
4,"Levikhinsky mine, Sverdlovsk Oblast, western Siberia",Cu,,,,,2,B,,2020,13/Jul/20,,,,"https://www.e1.ru/news/spool/news_id-69366844.html;
https://www.reuters.com/article/us-russia-mine-acid-spill/streams-of-acid-from-abandoned-russian-mine-burn-mountains-yellow-and-red-idUSKCN24O1YM","Underflow/overflow point is heading to the Tagil River.  https://goo.gl/maps/1zWwFg5QQreZKYxJA  In January, the environmental prosecutor's office reported that there were no signs of destruction or uncontrolled overflow of water. But now they are conducting a new check after a wave of publications in the media - experts went to the mine on July 13.  In January, the environmental prosecutor's office reported that there were no signs of destruction or uncontrolled overflow of water. But now they are conducting a new check after a wave of publications in the media - experts went to the mine on July 13.",,,,,,,,,,,,,,,,,,
4,"Hpakant, Kachin state, Myanmar",Jade,,,,,,,,2020,2/Jul/20,,,174,K2fly 2021,"Following heavy rain, mining waste collapsed into a lake, triggering a 6.1-meter (20 ft) wave of mud and water that buried many workers. At least 174 people were killed and 100 missing.",,,,,,,,,,,,,,,,,,
3,"Ponce Enríquez, Azuay Province, Equador (Austro Gold)",Au,,,,,1,A,ST,2020,2/Jul/20,50,,,Reuters,"A small tailings dam breached in the southern Azuay province, releasing about 50 tonnes of pollutants into the Tenguel river, killing fish.",,,,,,,,,,,,,,,,,,
3,"San José de Los Manzanos, Canelas, Durango, Mexico (Exportaciones de Minerales de Topia SA - EMITSA)","Pb, Zn",,,,,1,A,OT,2020,1/May/20,6000,5,,WISE,"Tailings spilled on a nearby road and 8,000 m2 of land, reaching the San Bernabé stream after 5 km and the town of the same name (https://www.gob.mx/profepa/prensa/clausura-profepa-a-empresa-minera-que-sufrio-derrame-de-casi-6-mil-metros-cubicos-de-jales-en-durango)",,,,,,,,,,,,,,,,,,
1,"Sasan Ultra Mega Power Project, Harrahva in Singrauli district of Madhya Pradesh, India (Reliance Company)",Ash,,,,,1,A,,2020,10/Apr/20,,7.7,6,"https://sandrp.in/2020/04/12/singruali-fly-ash-dam-breach-who-regulates-these-dams-in-india/, Rana","A fly ash Dam of Sasan Ultra Mega Power Project of Reliance Company has breached[i] in the evening of April 10, 2020, near village Harrahva in Singrauli district of Madhya Pradesh, killing six people and destroying downstream river and fields.  Following the breach there was massive flash flood of coal ash mixed sludge reportedly affecting hundreds of villages and destroying crops on thousands of acres. The liquid fly ash in huge volume has reached the river and Rihind reservoir located downstream in close proximity. According to Amar Ujala report the incident had destroyed crops[ix] on 200 acres of land and flash flood affected several villages and debris flow entered many houses in the area.",,,,,,,,,,,,,,,,,,
1,"Yichun Luming Mining, Heilongjiang Province, China (China Railway Resources Group)",Mo,US,,,,1,A,ST,2020,28/Mar/20,2530000,208,,"Rueters, WISE, AGU, Decipher","Water and tailings flowed through the surrounding area, reaching Yijimi river after 3km, threatening the drinking water of 68,000 people in Tieli City. By 4 April 2020, the pollution reached 208km downstream.  ""No. 4 overflow well"" [?] of the tailings dam tilted, resulting in the release of supernatant water and tailings (WISE).  Testing of water in the Hulan river some 110 km southwest of the mining site in Yichun showed the molybdenum content was 2.8 times higher than standard levels.  AGU Blogoshpere proposed two hypotheses - (1) that this was a decant tower, a structure constructed to dewater the tailings; and, (2) this is a reclaim system.  (I favor the first explanation - DMC)",,,,,,,,,,,,,,,,,,
3,"Nossa Senhora do Livramento, Mato Grosso, Brazil (VM Mineração e Construção, Cuiabá)",Au,,,15,580000,1,A,,2019,1/Oct/19,,2,,"WISE, AGU, RISKOPE","Tailings flowed 1-2 km, disrupting a power line ",,,,,,,,,,,,,,,,,,
3,"Cobriza mine, San Pedro de Coris district, Churcampa province, Huancavelica region, Peru (Doe Run Perú S.R.L)",Cu,US,,,,1,A,,2019,10/Jul/19,67488,375,,"WISE, AGU, Rana","tailings covered an area of 41,574 m2 and reached Mantaro River. The tailings runout has reportedly generated a serious pollution incident in the Rio Mantaro.  There are fears that a stretch of the river extending for 375 km has been contaminated with cyanide.  ",,,,,,,,,,,,,,,,,,
4,"Hpakant, Kachin state, Myanmar (Shwe Nagar Koe Kaung Gems Co. Ltd., Myanmar Thura Gems Co. Ltd.)",Jade,,,,,,,,2019,22/Apr/19,,,3,WISE,wase heap failure 3 dead 54 missing,,,,,,,,,,,,,,,,,,
3,"Muri, Jharkhand, India (Hindalco Industries Limited)",Al,,,,,1,B,ST,2019,9/Apr/19,,0.2,0.9,"WISE, AGU, Rana","Spill of red mud over 35 acres and a nearby railway line, number of casualties still unclear. The boundary wall of the caustic pond created by Hindalco Ltd collapsed thus leading to a landslide like situation in Muri near the railway tracks.  Appears to be the result of stacking dry tailngs too high.",,,,,,,,,,,,,,,,,,
2,"Machadinho d'Oeste, Oriente Novo, Rondônia, Brazil (Metalmig Mineração Indústria e Comércio S/A)",Sn,,,,,1,B,,2019,29/Mar/19,,,,WISE,"Failure of inactive tailings dam after heavy rain. Tailings spill damaged seven bridges, leaving 50 families isolated. No deaths or injuries reported.  A number of photos of the accident aftermath were reviewed, and from the photos it is apparent the spill release is large enough to warrant a Severtiy Code rating of 2.",,,,,,,,,,,,,,,,,,
1,"Brumadinho, Mina Córrego do Feijão, Minas Gerais, Brazil (Vale)",Fe,US,T,87,12000000,1,B,SI,2019,25/Jan/19,9570000,600,270,"Quelopana, 2019, www.worldminetailingsfailures.org","The tailings wave devastated the mine's loading station and its administrative area. It then traveled approx. downhill until reaching Rio Paraopeba, destroying a railway bridge, and spreading to parts of the local community Vila Ferteco. 259 confirmed deaths + 11 missing (Feb20)",,,,,,,,,,,,,,,,,,
3,"Duke Energy, L.V. Sutton Power Station, Wilmington, North Carolina.",Ash,,,,2100000,2,B,OT,2018,20/Sep/18,,,,https://www.nytimes.com/2018/09/21/climate/florences-floodwaters-breach-defenses-at-power-plant-prompting-shutdown.html,"The dam imperils two unlined coal ash ponds on site, which contain a combined 2.1 million cubic yards of coal ash.  During Hurricane Florence the ponds were overtopped.",,,,,,,,,,,,,,,,,,
3,"Duke Energy, HF Lee Power Plant, Goldsboro, North Carolina",Ash,,,,875000,2,B,OT,2018,20/Sep/18,2000,,,https://www.wral.com/after-florence-coal-ash-sites-near-goldsboro-completely-underwater-/17860975/,"Three older inactive storage sites, covered by soil and vegetation, including tall trees, were submerged by Hurrican Florence. They hold 1.3 million tons of ash. ",,,,,,,,,,,,,,,,,,
2,"Cieneguita mine, Urique municipality, Chihuahua, Mexico 
(Minera Rio Tinto and Pan American Goldfields)",Au Ag,US,,,,1,A,SI,2018,4/Jun/18,439000,26,5,"http://www.mining.com/five-bodies-rescued-collapsed-mine-mexico/, Rana",Dam failure results in tailings release in Cañitas creek for 26 km. Seven workers reported missing.,,,,,,,,,,,0.231460367,0.666666667,0.357142857,1.255269891,,0,1.255269891,0
4,"Hpakant Jade Mines, Myanmar",Jade,,,,,3,U,U,2018,4/May/18,,,20,https://www.mmtimes.com/news/death-toll-hpakant-landslide-rises-20.html,Failure of waste rock pile for Jade mining.,,,,,,,,,,,0,0,1.428571429,1.428571429,,0,0,0
4,"Hector Mine Pit Pond, MN, USA",Fe,,,17,185000,1,B,OT,2018,24/Apr/18,123000,,,ASDSO,"Tributary stream meandered into abandoned mine pit during spring snowmelt causing partially filled mine pit to completely fill and overtop natural earth embankment.  Embankment failed, draining pit into the Embarass River and causing damage to utilities and water quality issues on Embarass Lake.  There is question about whether the embankment that failed was man-made or natural.",,,,,,,,,,,,,,,,,,
1,"Cadia, New South Wales (Newcrest Mining)",Cu Au,DS / US,MW,94,,1,A,FN,2018,9/Mar/18,1330000,0.5,,"WISE, Newcrest Release, Report on NTSF Embankment Failure, Cadia Valley Operations, for Ashurst Australia, by Independent Technical Review Board, Rana","A central mechanism in how the embankment failure developed was load redistribution within the dam and its foundation as zones became over-stressed. A section of the northern dam wall collapsed into the southern tailings dam. The upstream embankment raises that had extended onto the tailings surface became unstable when static liquefaction was triggered by foundation deformation along a brittle layer. Two earthquakes were recorded in the area, ten seconds apart and just over two kilometres from the mine the day before the failure. The earthquake had a magnitude of 2.7 with 0.15g loading that did affect the failure.",,,,,,,,,,,0.701235281,0.012820513,0,0.714055794,,0.714055794,0,0
3,"Huancapatí, Recuay province, Áncash region, Peru (Compañía Minera Lincuna SA, Grupo Picasso)","Au, Cu",,,,,1,A,U,2018,3/Mar/18,80000,,,"WISE, Decipher","Collapse of embankment of tailings dam No. 2 after heavy rain.  The incident contaminated crops, the Sipchoc creek and the Santa river.",,,,,,,,,,,,,,,,,,
3,"Barcarena, Pará, Brazil , Alunorte 
(Hydro Alu Norte/Norsk Hydro ASA)",Al,,,,,1,A,OT,2018,17/Feb/18,,,,https://news.mongabay.com/2018/02/norsk-hydro-accused-of-amazon-toxic-spill-admits-clandestine-pipeline/,"High levels of lead, aluminum, sodium and other toxins have been detected in drinking water up to two kilometers away from the Norsk Hydro property, according to the Ministry of Health. The pH recorded in the waters was 10. The company denied the spill on its website.",,,,,,,,,,,0,0,0,0,,0,0,0
4,"Hpakant Jade Mines, Myanmar",Jade,,,,,3,U,U,2018,6/Jan/18,,,6,https://www.efe.com/efe/english/portada/6-killed-in-landslide-abandoned-jade-mine-myanmar/50000260-3484590,Failure of waste rock pile for Jade mining.,,,,,,,,,,,0,0,0.428571429,0.428571429,,0,0,0
3,"Hernic PGM Project, South Africa (Jubilee Metals Group)",Cr,,MW,39,4875000,1,A,U,2017,29/Dec/17,0,,,Reuters 5Jan18,"V-shaped failure of the side wall of compartment 2 of the tailings dam. The failure in the wall was resealed the same day by Hernic. The spillage was contained on the adjacent property, which was previously used as an opencast mining area.",,,,,,,,,,,0,0,0,0,,0,0,0
3,"Kokoya mine, Liberia (MNG Gold-Liberia)",Au,,,,,1,A,ST,2017,23/Sep/17,11356,,,Liberian Observer (https://www.liberianobserver.com/news/epa-provides-updates-on-mng-gold-mine-incident/),"A section of the geo-membrane layer of the tailing storage dam at the MNG Gold mines in Kokoya Bong County ruptured and resulted into uncontrollable discharged of slurry containing cyanide from the dam into the Sien Creek. 34 persons were reportedly affected and admitted at major medical centers. The TSF holds about 300,000 cubic meters of water, and theamount spilled was 3 million gallons (11,356 m3, https://frontpageafricaonline.com/news/liberia-investigation-into-cyanide-spillage-finds-mng-gold-liable-of-polluting-bong-county/).",,,,,,,,,,,0.005987389,0,0,0.005987389,,0,0,0.005987389
1,"Vedanta Aluminium Limited Smelter Ash Pond, Jharsuguda, India",Al,,,,,1,A,U,2017,28/Aug/17,2625000,,,https://www.telegraphindia.com/1170908/jsp/odisha/story_171460.jsp,115 acres of agricultural land had been covered by ash layered around 0.5 metres to 3 metres. The officials have also found evidence of severe water pollution in the Bheden river.,,,,,,,,,,,1.384017003,0,0,1.384017003,,1.384017003,0,0
2,"Mishor Rotem, Israel (Rotem Amfert Negev Ltd.,Israel Chemicals (ICL))",P,US,,60,,1,A,SI,2017,30/Jun/17,100000,20,,"Reuters 2Jul17, Rana","ICL reported that on June 30 a dike partially collapsed at Pool 3, which is used for the accumulation of phosphogypsum water. 100,000 cubic meters (26.4 million gallons) of highly acidic wastewater surged through a dry Ashalim riverbed in southern Israel left a wake of ecological destruction more than 20 km (12 miles) long.",,,,,,,,,,,0.052724457,0.512820513,0,0.56554497,,0,0.56554497,0
3,"Husab, Namibia (Swakop Uranium (Taurus Minerals))",U,,,,,1,A,OT,2017,May/17,,,,https://www.namibian.com.na/166987/archive-read/Husab-tailings-facility-leaked-due-to-pump-failure,Pump failure in commissioning caused overtopping initially denied by miner. Fully contained near perimter.  No release onto unlined area,,,,,,,,,,,0,0,0,0,,0,0,0
3,"Highland Valley Copper, British Columbia, Canada (Teck Resources)",Cu,,Sand,140,,1,A,ER,2017,8/Apr/17,850,0,0,https://www.castanet.net/news/Kamloops/194524/225K-gallon-spill-at-mine,A 4.5-metre deep and six-metre wide trench down the face of the 140-metre high dam. Contaminated water collected in containment system at the base of the dam.  Water pipeline leak wasn't noticed for three hours.,,,,,,,,,,,0.000448158,0,0,0.000448158,,0,0,0.000448158
2,"Tonglvshan Mine, Hubei Province, China (China Daye Ltd.)",Cu Au Ag Fe,,,,,1,A,,2017,12/Mar/17,200000,0.5,2,", RanaWISE","A partial dam failure occurred at the northwestern corner of the tailings pond, which flooded a fish pond downstream of approx. 27 hectares. Two persons were reported dead and one was reported missing. ",,,,,,,,,,,0.105448914,0.012820513,0.142857143,0.26112657,,0,0.26112657,0
4,"Hpakant Jade Mines, Myanmar (Jade Palace Company)",Jade,,,,,3,U,U,2016,28/Dec/16,,,50,K2fly 2021,Failure of waste rock pile for Jade mining.,,,,,,,,,,,0,0,3.571428571,3.571428571,,0,0,0
3,"Antamok, Baguio, Philippines (Philex)",Au,,,,,2,B,ST,2016,28/Oct/16,50000,,,"Antamok leak under control, Baguio Midland Courier Website, 6Nov16","50,000 metric tons of tailings material leaked into Liang River during the onslaught of Super Typhoon.",,,,,,,,,,,0.026362229,0,0,0.026362229,,0,0,0.026362229
3,"Duke Energy Coal Ash, Goldsboro, North Carolina",Coal,,,,415000,1,B,OT,2016,1/Oct/16,,,,http://www.ecowatch.com/coal-ash-duke-energy-2053607683.html,"Coal ash pond flooded by Hurricane Matthew. The leaked tailings flowed into Liang, Ambalanga and Agno rivers.Fly ash coated tree branches as much as seven feet above the river surface.",,,,,,,,,,,0,0,0,0,,0,0,0
4,"New Wales plant, Polk County, Mulberry, Florida (Mosaic Co)",P,,,,,3,U,U,2016,27/Aug/16,840000,,,"WISE, WFLA.com","14 metre-wide sinkhole appeared in a phosphogypsum stack, opening a pathway for contamined liquid into the underground; the liquid reached the Floridan Aquifer, a major drinking water resource.",,,,,,,,,,,0.442885441,0,0,0.442885441,,0,0,0
1,"Kazzinc Mining & Metallurgical Company (Glencore) - Concentrator TSF, Ridder (once called Leninogorsk), Kazakhstan",Pb Zn,,,,,1,A,ST,2016,22/May/16,,~100,,"http://siberiantimes.com/ecology/others/news/n0671-stinking-poisoned-water-flows-towards-siberia-from-mining-city-ridder-in-kazakhstan/
https://earthworks.org/blog/mine_disaster_in_siberia/
https://www.glencore.com/media-and-insights/news/kazzinc-environmental-incident","On 22 May 2016, inert tailing slurry was discharged via a previously discontinued and sealed water discharge collector system into the Filippovka River from Talovsky Tailings Management Facility (TMF). The discharge occurred due to the failure of a water collector that, prior to 1979, was used to regulate the amount of water on the surface of the tailings dam. Talovsky TMF is part of the Ridder Ore Concentrator at our Kazzinc operation in the town of Ridder, Kazakhstan. Pollution spilled into the Ulba and Filippovka rivers, which flows near the Kazakhstan-Russian border, and headed toward the Siberian city of Omsk. Pictures of the polluted river look like freshwater was replaced by wet concrete. Reports from local partners say the waste contained cyanide and excess minerals such as zinc, lead copper and manganese, though mining and government officials downplayed the severity of the spill and presence of toxins. The ore from Tishinsky, Shubinsky and Ridder-Sokolny mines and gold-bearing tailings accumulated in the abandoned TSF are treated at the Ridder Concentrator.",,,,,,,,,,,,,,,,,,
1,"Dahegou Village, Luoyang, Henan Province, China (Luoyang Xiangjiang Wanji Aluminium Co., Ltd.)",Al,US,MW,45,2000000,1,A,SI,2016,8/Aug/16,2000000,2,,"Back analyses of the August 2016 Luoyang red mud tailings facility failure, David Reid and Andy Fourie, Tailings and Mine Waste 2017 Conference, Banff, AB, 6-8Nov17","The southwest corner of its red-mud dam body was unsound, threatening a red-mud slide.  Around 7pm on 8th of August, Xiangjiang Wanji Aluminium’s red mud storage had a landslide accident. It has been reported that the dam held about 2 million cubic meters of red mud and was about 1.5km in length. (http://blogs.agu.org/landslideblog/2016/08/15/luoyang-1/) Xiangjiang Wanji Aluminium is a private alumina refinery ... established in 2005 ... annual capacity is 1.2 million tonnes of alumina. (http://az-china.com/archives/7980#)",,Al,,,,,,,,,1.054489145,0.051282051,0,1.105771196,,1.105771196,0,0
4,"Hpakant Jade Mines, Lamaungkone, Kachin state, Myanmar (Tun Tauk Zabu jade mining company)",Jade,,,,,3,U,U,2015,14/Dec/15,,,21,K2fly 2021,"1 worker killed, approximately 20 others missing.",,,,,,,,,,,0,0,1.5,1.5,,0,0,0
4,"Hpakant Jade Mines, San Kat Kuu, Kachin state, Myanmar",Jade,,,,,3,U,U,2015,21/Nov/15,,,115,https://www.rfa.org/english/news/myanmar/landslide-05042018180440.html,Failure of waste rock pile for Jade mining.,,,,,,,,,,,0,0,8.214285714,8.214285714,,0,0,0
1,"Fundao-Santarem (Germano), Minas Gerais, Brazil (Samarco = Vale & BHP)",Fe,US,MW,110,56400000,1,A,ST,2015,5/Nov/15,43700000,668,19,"Report on the Immediate Causes of the Failure of the Fundão Dam, August 25, 2016; SAMARCO Biennial (Sustainability) Report 2015-2016","The Fundão dam breached and its tailings impacted the nearby Santarém dam and caused a partial erosion of its right shoulder.  The Selinha dike, one of the side walls of the Germano dam, was also damaged.  19 people killed, including 14 working on the dams at the time.  Waste discharge reached the Atlantic Ocean.",,Fe,,,,,,,,,23.04058781,17.12820513,1.357142857,41.5259358,,41.5259358,0,0
4,"Gold King Mine, near Silverton, Colorado",Au,N/A,N/A,N/A,,3,B,ST,2015,5/Aug/15,11356.23,,,USEPA,"Summary Report, EPA Internal Review of the August 5, 2015 Gold King Mine Blowout, August 24, 2015.  On August 5, 2015, there was a release of approximately 3,000,000 gallons of mine wastewater from the Gold King Mine near Silverton, CO.",,Au,,,,,,,,,0.005987511,0,0,0.005987511,,0,0,0
